observ;barrio;calle;altura;institu1;institu3;distanci;edpub;estserv;banco;totrob;mes
728;Once;Jean Jaures;a500;0;0;2;0;0;0;0;4
849;Once;Lavalle;a2900;0;1;1;0;0;0;0;4
847;Once;Lavalle;a2700;0;1;1;0;0;0;0;4
854;Once;Tucuman;a2700;0;1;1;0;0;0;0;4
855;Once;Tucuman;a2800;0;1;1;0;0;0;0;4
852;Once;Tucuman;a2500;0;0;2;0;0;0;0;4
856;Once;Tucuman;a2900;0;1;1;0;0;0;0;4
853;Once;Tucuman;a2600;0;1;1;0;0;0;0;4
538;V. Crespo;Lavalleja;a200;0;1;1;0;0;0;1;4
544;V. Crespo;Frias;a200;0;0;2;0;0;0;0;4
678;V. Crespo;Vera;a200;0;0;2;0;0;0;0;4
690;V. Crespo;Velasco;a300;0;0;3;0;0;0;0;4
545;V. Crespo;Frias;a300;0;0;3;0;0;0;0;4
677;V. Crespo;Vera;a100;0;0;2;0;0;0;0;4
539;V. Crespo;Lavalleja;a300;0;0;2;0;0;0;0;4
710;V. Crespo;Luis Maria Drago;a100;0;1;1;0;0;0;0;4
667;V. Crespo;Corrientes;a5000;0;0;3;0;0;1;0;4
709;V. Crespo;Luis Maria Drago;a0-100;0;0;2;0;0;0;0;4
549;V. Crespo;Angel Gallardo;a100;0;0;3;0;0;0;1;4
666;V. Crespo;Corrientes;a4900;0;0;3;0;0;0;0;4
547;V. Crespo;Angel Gallardo;a0-50;0;0;5;0;0;1;0;4
665;V. Crespo;Corrientes;a4800;0;0;3;0;0;0;0;4
548;V. Crespo;Angel Gallardo;a50-100;0;0;4;0;0;0;0;4
676;V. Crespo;Vera;a0-100;0;0;3;0;0;0;1;4
533;V. Crespo;Julian Alvarez;a300;0;0;2;0;0;0;0;4
550;V. Crespo;Angel Gallardo;a200;0;0;3;0;0;0;0;4
664;V. Crespo;Corrientes;a4700;0;0;4;0;0;0;0;4
821;Once;Tte. Gral. Peron;a3000;0;1;1;0;0;0;0;4
806;Once;Rivadavia;a3000;0;0;4;0;1;0;0;4
833;Once;Valentin Gomez;a2900;1;1;0;0;0;0;0;4
834;Once;Valentin Gomez;a3000;0;1;1;0;0;1;0;4
827;Once;Sarmiento;a2800;0;0;2;0;0;0;0;4
813;Once;Bartolome Mitre;a3000;0;0;3;0;0;0;0;4
724;Once;Jean Jaures;a0-100;0;0;3;0;0;0;0;4
819;Once;Tte. Gral. Peron;a2800;0;1;1;0;0;0;0;4
820;Once;Tte. Gral. Peron;a2900;1;1;0;1;0;0;0;4
736;Once;Ecuador;a400;0;1;1;0;0;0;0;4
744;Once;Boulogne Sur Mer;a400;0;1;1;0;0;0;0;4
832;Once;Valentin Gomez;a2800;0;1;1;0;0;1;0;4
804;Once;Rivadavia;a2800;0;0;4;0;0;1;0;4
742;Once;Boulogne Sur Mer;a200;0;1;1;0;0;0;0;4
